1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
979	-0.503098	120.284803	0.323377	0.034241	1.9
980	-0.501079	121.246913	0.321190	0.014767	2.2
981	-0.516635	120.669729	0.322498	0.006222	1.9
982	-0.492879	120.572389	0.322720	0.064621	2.2
983	-0.496528	120.657629	0.322526	0.015845	2.4
984	-0.510358	119.896743	0.324267	0.036854	1.7
985	-0.461830	119.769296	0.324561	0.021591	2.0
986	-0.494412	120.733700	0.322353	0.042330	1.9
987	-0.522825	119.973116	0.324092	0.041795	2.1
988	-0.436183	120.770249	0.322269	0.033607	2.2
989	-0.497266	121.532013	0.320547	0.044811	2.3
990	-0.442965	122.529683	0.318319	0.017788	1.9
991	-0.507533	121.775480	0.320000	0.036267	1.9
992	-0.515273	121.337067	0.320986	0.029154	1.8
993	-0.511430	122.314555	0.318797	0.017586	2.0
994	-0.486404	121.597096	0.320401	0.031415	1.9
995	-0.539503	122.550539	0.318273	0.048410	1.7
996	-0.475579	121.789172	0.319970	0.017036	2.1
997	-0.489766	122.589182	0.318187	0.027735	1.8
998	-0.466195	122.996117	0.317288	0.049698	1.8
999	-0.520915	123.234054	0.316764	0.018590	1.5
